"Age","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","DistrictofColumbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","NewHampshire","NewJersey","NewMexico","NewYork","NorthCarolina","NorthDakota","Ohio","Oklahoma","Oregon","Pennsylvania","RhodeIsland","SouthCarolina","SouthDakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","WestVirginia","Wisconsin","Wyoming","USA"
"< 5","10","0","11","8","23","2","0","0","0","23","21","0","2","11","8","3","4","3","5","0","3","0","11","4","10","7","0","2","1","1","5","2","4","6","2","11","11","6","11","0","9","1","12","47","2","0","4","3","2","2","0","313"
"5 -- 9","10","3","12","5","23","6","1","0","0","21","12","0","0","10","9","6","4","4","10","1","4","1","10","0","7","7","5","0","1","0","3","1","10","16","0","10","9","3","7","0","6","0","6","51","1","1","6","1","1","3","0","307"
"10 -- 15","9","2","24","17","73","18","3","0","0","61","29","1","5","22","17","10","13","11","19","6","2","1","10","11","15","18","6","5","8","0","7","7","18","18","3","21","13","9","14","0","11","2","10","73","10","0","9","16","3","11","2","673"
"16 -- 20","85","6","84","52","292","50","26","13","3","243","136","5","28","106","85","26","27","60","57","12","45","33","76","38","70","81","21","23","24","5","44","31","76","144","8","82","58","44","80","7","79","9","108","341","25","5","62","44","16","38","8","3121"
"21 -- 24","91","5","79","40","351","68","27","11","2","270","113","13","25","103","70","40","32","80","57","9","56","28","99","22","61","80","16","21","21","6","50","33","106","156","7","94","49","28","91","8","85","12","103","354","25","5","71","41","26","66","7","3313"
"25 -- 34","180","11","190","118","876","122","72","25","9","615","334","17","26","241","161","51","70","155","180","29","112","74","214","68","146","202","40","44","68","22","108","71","217","302","23","244","110","87","204","11","239","16","232","841","47","8","178","104","46","126","27","7713"
"35 -- 44","143","14","166","108","597","96","36","12","13","493","250","7","39","158","114","35","54","125","121","18","88","45","139","50","128","167","32","33","49","10","77","67","145","238","12","197","110","74","164","5","161","27","201","610","41","8","112","98","49","80","20","5836"
"45 -- 54","130","3","106","89","500","92","37","15","5","438","221","11","29","159","134","57","58","100","141","29","91","35","146","64","107","129","34","21","36","14","66","59","110","196","13","171","89","74","154","10","168","16","186","524","29","8","110","67","37","89","15","5222"
"55 -- 64","135","9","192","100","570","77","43","10","1","505","249","15","27","152","132","46","68","103","112","25","80","43","151","66","99","115","26","38","50","19","105","70","141","224","13","180","106","78","182","7","140","30","167","486","34","12","134","91","32","92","23","5605"
"65 -- 74","79","8","99","59","317","57","23","16","1","309","143","8","19","113","82","32","44","72","70","20","44","46","110","35","70","93","18","28","33","12","52","26","107","118","9","119","59","59","93","8","91","19","98","335","33","12","88","44","29","62","12","3533"
"> 75","59","3","81","41","219","34","25","14","2","316","130","8","14","103","66","30","51","66","55","15","42","36","118","35","31","86","14","18","22","15","66","31","107","116","10","100","38","46","129","11","75","9","94","199","29","3","73","47","26","45","13","3016"
"Unknown","3","0","10","1","6","0","2","0","0","37","26","0","0","16","19","1","1","1","1","0","0","1","0","1","8","2","1","0","4","0","1","0","5","4","0","1","0","0","0","0","0","0","0","13","0","0","3","4","0","0","0","172"
"Total","934","64","1054","638","3847","622","295","116","36","3331","1664","85","214","1194","897","337","426","780","828","164","567","343","1084","394","752","987","213","233","317","104","584","398","1046","1538","100","1230","652","508","1129","67","1064","141","1217","3874","276","62","850","560","267","614","127","38824"
